lat,lon,panoid,year,month
53.337813,-6.253952,6Ef-_gPUPj0x1k083b7pFw,2017,4
53.337849,-6.253904,NLd6jilp8FzXRmVGnZDOAQ,2009,6
53.337858,-6.253901,_ZGpQY0dL7G9UFCzJqD__w,2014,5
53.337863,-6.253891,ySVAX5hQArqL26rMau5HsQ,2010,9
53.337881,-6.254211,VVH0Y13rzicAAAQIt3cUvg,2013,5
53.337882,-6.253875,jqsktMD4u0-qbkWM_RbVJQ,2017,7
53.337889,-6.253893,W8LZ9ESuIE9ZXHHeUSKhRQ,2017,4
53.337892,-6.253874,m7j5YnF4Soqs27H_BY7jnw,2010,10
53.337912,-6.252605,n4VDdHAwGIdYs4Pa2RIjbw,2014,10
53.337915,-6.252722,21e34pbS9S4Czx1JhF45-w,2017,7
53.337916,-6.252616,FQabWiH5QZ2ukEen4Z4h5Q,2017,4
53.337920,-6.252711,4OPmOt0rD17S_coOy9kiaA,2014,5
53.337923,-6.252658,MmjTry2Xu6ciX1VYuDPoeg,2017,4
53.337924,-6.253973,NtsKvqntuAajb_oXXKD5CQ,2012,10
53.337931,-6.253971,JB3c6dq8qSjFw1ChwghWdQ,2012,10
53.337934,-6.253999,VBj4dAP-yl--YGHcbbwMeg,2012,10
53.337934,-6.252675,aDSSp59M_GOEBsIBI9cqFQ,2009,6
53.337936,-6.254023,vMyL6hQlMJp2glU5jIJHAA,2012,10
53.337944,-6.254065,vMjPq-HDPPlfY-piqojzpg,2012,10
53.337945,-6.252750,XB5kBA9W8zh-NsXna6Vdxw,2014,10
53.337947,-6.252841,6t0dEinr6myOjmbe6Y0qig,2017,7
53.337948,-6.253993,d62RUuaTOcqHb0YKAEPf6g,2012,10
53.337952,-6.252830,x8mcMTLaouVdTcPQM3v4fQ,2014,5
53.337952,-6.253822,-RK4E8eJk300zDKgSiECrg,2009,6
53.337953,-6.252872,4ejyoN02mrj1nxRli8w17A,2012,8
53.337961,-6.253931,qWzBn-4YTavn2Zs65h63VA,2012,10
53.337963,-6.252824,bNFTMpmI_utpserkbYPA6A,2014,10
53.337964,-6.252907,EwcDlPALMAd_W2lHbkWgjA,2017,7
53.337965,-6.252879,20jC08Hlne0nyHWBOKoNyw,2014,5
53.337966,-6.253814,81dE7kRZnDa0JT6zGglcVg,2010,9
53.337966,-6.253802,7De1wO0kA_zaY8cpHO618w,2014,6
53.337968,-6.253974,2uxO7FqgQkEiCg4Lkbc91A,2012,10
53.337969,-6.252837,nt7kZkg5NvAQla9jF2g8CA,2017,4
